Storage Location,Storage Type,Storage Bin,Material,Plant,Stock Category,Available stock,Pick quantity,Storage Unit,Storage Unit Type,Quant,Duration,GR Date
,901,GR-ZONE,<<empty>>,,,0,0,,,0,0,
,902,GR-ZONE,<<empty>>,,,0,0,,,0,0,
1,902,4500020710,Z1POP-0240,3510,,800,0,,,1000605318,41,2/14/19
1,902,4500020710,Z1POP-0243,3510,,800,0,,,1000605317,41,2/14/19
,904,REPACK,<<empty>>,,,0,0,,,0,0,
1,904,0,CF08500ASP,3510,,2,0,,,1000644017,0,3/27/19
2,904,0,Z1CS-50-FRAME,3510,,1,0,,,1000644005,0,3/27/19
,910,GI-ZONE,<<empty>>,,,0,0,,,0,0,
1,916,8200083350,AC08101ASP,3510,,3,0,,PAL,1000642625,1,2/6/18
1,916,8200083491,AC08101ASP,3510,,3,0,,PAL,1000643104,0,2/6/18
1,916,8200083350,AC08101FRT,3510,,3,0,,PAL,1000642626,1,2/22/18
1,916,8200083350,AD-03-001,3510,,16,0,,PAL,1000642627,1,1/23/18
1,916,8200083491,AD-07-001,3510,,6,0,,PAL,1000643107,0,5/9/18
1,916,8200082935,AD-08-001,3510,,4,0,,PAL,1000635427,7,2/28/19
1,916,8200083350,AD-08-001,3510,,160,0,,PAL,1000642628,1,2/28/19
1,916,8200083491,AD-08-001,3510,,12,0,,PAL,1000643082,0,2/28/19
1,916,8200083350,AD09100ACS,3510,,12,0,,PAL,1000642629,1,2/28/19
1,916,8200083491,AD09100ACS,3510,,7,0,,PAL,1000643106,0,2/28/19
1,916,8200083350,CC09801CVR,3510,,10,0,,PAL,1000642630,1,2/28/19
1,916,8200083491,CC09801CVR,3510,,8,0,,PAL,1000643089,0,2/28/19
1,916,8200083350,CF-02-007,3510,,100,0,,PAL,1000642631,1,1/3/19
1,916,8200083491,CF03501BIR,3510,,24,0,,PAL,1000643083,0,2/26/19
1,916,8200082935,CF03501CVR,3510,,4,0,,PAL,1000635428,7,2/27/19
1,916,8200083351,CF03501CVR,3510,,120,0,,PAL,1000642656,1,3/20/19
1,916,8200083460,CF03501CVR,3510,,1,0,,PAL,1000642582,1,3/20/19
1,916,8200083491,CF03501CVR,3510,,33,0,,PAL,1000643088,0,3/22/19
1,916,8200082935,CF03501FRT,3510,,1,0,,PAL,1000635429,7,2/27/19
1,916,8200083491,CF03501FRT,3510,,2,0,,PAL,1000643094,0,2/27/19
1,916,8200083491,CF03501GRN,3510,,30,0,,PAL,1000643084,0,3/20/19
1,916,8200083491,CF08500ASP,3510,,11,0,,PAL,1000643095,0,11/21/18
1,916,8200083456,CF08500EBN,3510,,1,0,,PAL,1000642573,1,8/9/18
1,916,8200083457,CF08500EBN,3510,,5,0,,PAL,1000642577,1,8/9/18
1,916,8200083458,CF08500EBN,3510,,1,0,,PAL,1000642579,1,8/9/18
1,916,8200083461,CF08500EBN,3510,,2,0,,PAL,1000642586,1,8/9/18
1,916,8200083352,CF08500FOG,3510,,16,0,,PAL,1000642657,1,3/13/19
1,916,8200083491,CF08500GRN,3510,,12,0,,PAL,1000643093,0,3/13/19
1,916,8200083350,CF08501FRT,3510,,10,0,,PAL,1000642632,1,1/15/19
1,916,8200083491,CF08501FRT,3510,,12,0,,PAL,1000643091,0,1/15/19
1,916,8200083491,CS-40-002,3510,,3,0,,PAL,1000643103,0,1/23/19
1,916,8200083352,CS05103CVR,3510,,50,0,,PAL,1000642658,1,3/13/19
1,916,8200083460,CS05103CVR,3510,,1,0,,PAL,1000642583,1,3/13/19
1,916,8200083491,CS05103CVR,3510,,23,0,,PAL,1000643087,0,3/13/19
1,916,8200083491,CS05103FRT,3510,,51,0,,PAL,1000643079,0,2/25/19
1,916,8200083491,CS05103GRN,3510,,12,0,,PAL,1000643085,0,3/20/19
1,916,8200083491,CS07001ASP,3510,,12,0,,PAL,1000643101,0,2/28/19
1,916,8200083350,CS07001CHC,3510,,20,0,,PAL,1000642633,1,2/28/19
1,916,8200083491,CS07001CVR,3510,,24,0,,PAL,1000643075,0,2/18/19
1,916,8200082935,DP00000CVR,3510,,1,0,,PAL,1000635430,7,12/28/18
1,916,8200083350,DP00000FRT,3510,,3,0,,PAL,1000642634,1,9/11/18
1,916,8200083350,FT-02-009,3510,,3,0,,PAL,1000642635,1,4/2/16
1,916,8200083352,HC-10-004,3510,,8,0,,PAL,1000642659,1,3/12/19
1,916,8200083491,HC-10-005,3510,,2,0,,PAL,1000643108,0,3/1/19
1,916,8200083491,HC-10-015,3510,,2,0,,PAL,1000643096,0,6/20/17
1,916,8200083350,HD11000ACS,3510,,6,0,,PAL,1000642636,1,9/11/18
1,916,8200083491,HD11000ACS,3510,,12,0,,PAL,1000643105,0,9/11/18
1,916,8200083350,IF-02-001,3510,,140,0,,PAL,1000642637,1,3/21/19
1,916,8200083352,IF-02-001,3510,,20,0,,PAL,1000642660,1,3/21/19
1,916,8200083456,IF-02-001,3510,,2,0,,PAL,1000642574,1,3/21/19
1,916,8200083457,IF-02-001,3510,,3,0,,PAL,1000642578,1,3/21/19
1,916,8200083460,IF-02-001,3510,,2,0,,PAL,1000642584,1,3/21/19
1,916,8200083491,IF-02-001,3510,,48,0,,PAL,1000643092,0,3/21/19
1,916,8200083350,RC-03-001,3510,,6,0,,PAL,1000642638,1,4/2/16
1,916,8200083624,RC-31-001,3510,,1,0,,PAL,1000642588,1,2/19/18
1,916,8200082935,RC00000ACS,3510,,4,0,,PAL,1000635431,7,12/28/18
1,916,8200083350,RC00000ACS,3510,,18,0,,PAL,1000642639,1,12/28/18
1,916,8200083350,SC04500ASP,3510,,4,0,,PAL,1000642640,1,1/2/19
1,916,8200083491,SC04500GRN,3510,,5,0,,PAL,1000643102,0,1/2/19
1,916,8200083350,SE10302IRN,3510,,16,0,,PAL,1000642641,1,8/8/18
1,916,8200083458,SE10302IRN,3510,,1,0,,PAL,1000642580,1,8/8/18
1,916,8200082935,SS-05-001,3510,,4,0,,PAL,1000635432,7,10/18/18
1,916,8200083350,SS-05-001,3510,,24,0,,PAL,1000642642,1,10/18/18
1,916,8200083350,ST-41-002,3510,,100,0,,PAL,1000642643,1,8/23/18
1,916,8200083350,ST08101ASP,3510,,6,0,,PAL,1000642644,1,2/19/18
1,916,8200083350,ST08101CVR,3510,,10,0,,PAL,1000642645,1,8/3/18
1,916,8200083491,ST08101CVR,3510,,10,0,,PAL,1000643076,0,8/3/18
1,916,8200083350,ST08101FRT,3510,,10,0,,PAL,1000642646,1,7/30/18
1,916,8200083350,ST09401CVR,3510,,5,0,,PAL,1000642647,1,4/27/18
1,916,8200083491,ST10502BIR,3510,,15,0,,PAL,1000643086,0,1/16/19
1,916,8200083456,ST10502CVR,3510,,1,0,,PAL,1000642575,1,3/20/19
1,916,8200083491,ST10502CVR,3510,,20,0,,PAL,1000643080,0,3/20/19
1,916,8200083491,ST10502GRN,3510,,22,0,,PAL,1000643081,0,2/8/19
1,916,8200083350,ST10700ASP,3510,,20,0,,PAL,1000642648,1,9/12/18
1,916,8200083491,ST10700ASP,3510,,3,0,,PAL,1000643100,0,9/12/18
1,916,8200083624,SY-02-001,3510,,1,0,,PAL,1000642589,1,8/20/18
1,916,8200083350,TB-20-001,3510,,16,0,,PAL,1000642649,1,1/24/19
1,916,8200083491,TB-20-001,3510,,19,0,,PAL,1000643078,0,1/25/19
1,916,8200083491,TC-14-001,3510,,3,0,,PAL,1000643077,0,7/30/18
1,916,8200083350,TC04512ASP,3510,,6,0,,PAL,1000642650,1,1/4/19
1,916,8200083350,TC04512CVR,3510,,6,0,,PAL,1000642651,1,12/28/18
1,916,8200083491,TC04512CVR,3510,,6,0,,PAL,1000643109,0,12/28/18
1,916,8200083491,TC04512GRN,3510,,9,0,,PAL,1000643099,0,1/8/19
1,916,8200083350,TC04573CHP,3510,,10,0,,PAL,1000642652,1,1/3/19
1,916,8200083350,TC11201CHP,3510,,4,0,,PAL,1000642653,1,3/12/19
1,916,8200083491,TC11201CHP,3510,,6,0,,PAL,1000643097,0,3/12/19
1,916,8200082935,TC11201CVR,3510,,1,0,,PAL,1000635433,7,3/12/19
1,916,8200083350,TC11201CVR,3510,,6,0,,PAL,1000642654,1,3/12/19
1,916,8200083491,TC11201CVR,3510,,12,0,,PAL,1000643090,0,3/12/19
1,916,8200082935,TC11201FRT,3510,,1,0,,PAL,1000635434,7,3/12/19
1,916,8200083350,TC11201FRT,3510,,6,0,,PAL,1000642655,1,3/12/19
1,916,8200083491,TC11201FRT,3510,,6,0,,PAL,1000643098,0,3/12/19
1,916,8400114246,TS10500HAP,3510,,1,0,,,1000467024,233,8/6/18
1,916,8200083456,TS10701CVR,3510,,2,0,,PAL,1000642576,1,8/30/18
1,916,8200083458,TS10701CVR,3510,,5,0,,PAL,1000642581,1,8/30/18
1,916,8200083460,TS10701CVR,3510,,6,0,,PAL,1000642585,1,8/30/18
1,916,8200083461,TS10701CVR,3510,,2,0,,PAL,1000642587,1,8/30/18
,917,QUALITY,<<empty>>,,,0,0,,,0,0,
,920,TRANSFER,<<empty>>,,,0,0,,,0,0,
,921,TRANSFER,<<empty>>,,,0,0,,,0,0,
,922,U-ZONE,<<empty>>,,,0,0,,,0,0,
1,922,TR-ZONE,ST10700CVR,3510,,-1,0,,,1000634575,0,3/19/19
2,922,TR-ZONE,ST10700CVR,3510,,1,0,,,1000634576,8,
,923,PACK.BIN,<<empty>>,,,0,0,,,0,0,
,980,DUMMY,<<empty>>,,,0,0,,,0,0,
,998,INITIAL,<<empty>>,,,0,0,,,0,0,
,999,LOST&FOUND,<<empty>>,,,0,0,,,0,0,
2,999,SCRAP,AD-03-001,3510,,2,0,,PAL,1000641632,2,3/25/19
2,999,SCRAP,AD-08-001,3510,,8,0,,PAL,1000641633,2,3/25/19
2,999,SCRAP,AD09100ACS,3510,,1,0,,PAL,1000641634,2,3/25/19
2,999,SCRAP,CF-02-001,3510,,4,0,,PAL,1000641635,2,3/25/19
2,999,SCRAP,CF08501CVR,3510,,2,0,,PAL,1000641641,2,3/25/19
2,999,SCRAP,CS-40-002,3510,,1,0,,PAL,1000642850,1,3/26/19
2,999,SCRAP,CS-50-001,3510,,1,0,,PAL,1000641638,2,3/25/19
2,999,SCRAP,CS-50-005,3510,,1,0,,PAL,1000642851,1,3/26/19
2,999,SCRAP,CS05103CVR,3510,,-1,0,,,1000631039,0,
1,999,SCRAP,CS07001CVR,3510,,1,0,,,1000643977,0,3/27/19
2,999,SCRAP,IN08500GRY,3510,,2,0,,PAL,1000642852,1,3/26/19
2,999,SCRAP,SE10302CHP,3510,,2,0,,PAL,1000641645,2,3/25/19
2,999,SCRAP,ST-18-009,3510,,1,0,,PAL,1000644028,0,8/27/18
2,999,SCRAP,ST-18-019,3510,,1,0,,PAL,1000644029,0,8/27/18
2,999,SCRAP,ST-41-001,3510,,1,0,,PAL,1000641642,2,3/25/19
2,999,SCRAP,ST-41-002,3510,,1,0,,PAL,1000641637,2,3/25/19
2,999,SCRAP,ST-41-003,3510,,1,0,,PAL,1000642848,1,3/26/19
1,999,SCRAP,ST08101ASP,3510,,-1,0,,PAL,1000586883,0,
2,999,SCRAP,ST08101CVR,3510,,4,0,,PAL,1000641644,2,3/25/19
1,999,SCRAP,ST08101CVR,3510,,-1,0,,PAL,1000586881,0,
2,999,SCRAP,ST10502CVR,3510,,1,0,,PAL,1000641640,2,3/25/19
2,999,SCRAP,ST10700CVR,3510,,1,0,,PAL,1000641643,2,3/25/19
2,999,SCRAP,STC-40-026,3510,,2,0,,PAL,1000634915,8,3/19/19
