Storage Location,Storage Type,Storage Bin,Material,Material Description,Available stock,Storage Unit,Volume,Volume unit,Weight,Weight unit,Plant,Stock Category,Pick quantity,Storage Unit Type,Quant,Duration,GR Date
0002,901,GR-ZONE,CF-02-007,PIPA INDIGO W/BASE,1,,5.615,FT3,13.920,KG,3510,,0,,1000947930,290,12/23/2019
0002,901,GR-ZONE,CF-02-026,PIPA JETT W/BASE,1,,5.615,FT3,14.210,KG,3510,,0,,1000872531,357,10/17/2019
0002,901,GR-ZONE,CF03501CVR,PIPA CAVIAR W/BASE,1,,6.039,FT3,14.200,KG,3510,,0,,1000994947,244,2/7/2020
0002,901,GR-ZONE,CF08500CVR,PIPA LITE CAVIAR W/BASE&2ND INSERT,1,,5.542,FT3,13.450,KG,3510,,0,,1000989387,247,2/3/2020
0002,901,GR-ZONE,CF08500GRN,PIPA LITE GRANITE W/BASE&2ND INSERT,3,,18.117,FT3,40.350,KG,3510,,0,,1000899441,330,11/13/2019
0002,901,GR-ZONE,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,9,,50.535,FT3,124.560,KG,3510,,0,,1000891001,337,11/6/2019
0002,901,GR-ZONE,CF08501GRN,PIPA LITE LX GRANITE W/BASE&2ND INSERT,2,,11.700,FT3,27.680,KG,3510,,0,,1000900135,330,11/13/2019
0002,901,GR-ZONE,CS-50-001,RAVA CAVIAR,1,,7.002,FT3,16.120,KG,3510,,0,,1000902171,328,11/15/2019
0002,901,GR-ZONE,CS-50-002,RAVA INDIGO,1,,7.002,FT3,16.120,KG,3510,,0,,1000986942,251,1/31/2020
0002,901,GR-ZONE,CS05103CVR,RAVA CAVIAR,1,,7.098,FT3,16.280,KG,3510,,0,,1000889214,339,11/4/2019
0002,901,GR-ZONE,CS05103GRN,RAVA GRANITE,4,,28.392,FT3,65.120,KG,3510,,0,,1000880573,349,10/25/2019
0002,901,GR-ZONE,IF-02-001,PIPA BASE,2,,3.586,FT3,15.200,KG,3510,,0,,1000880574,349,10/25/2019
0002,901,GR-ZONE,SE10302IRN,LEAF GROW IRON W/TY,1,,4.297,FT3,10.120,KG,3510,,0,,1000926729,309,12/4/2019
0002,901,GR-ZONE,ST10700CVR,TAVO REFRESH CAVIAR,9,,36.810,FT3,127.620,KG,3510,,0,,1000891002,337,11/6/2019
0002,901,GR-ZONE,ST10700GRN,TAVO REFRESH GRANITE,3,,12.078,FT3,42.540,KG,3510,,0,,1000899442,330,11/13/2019
0002,901,GR-ZONE,STC-40-026,MIXX JETT W/CC&RC&AD,1,,6.852,FT3,23.800,KG,3510,,0,,1000872532,357,10/17/2019
0002,901,GR-ZONE,TC-15-001,SENA AIRE NIGHT W/SHEET,1,,3.431,FT3,14.720,KG,3510,,0,,1000893459,336,11/7/2019
0002,901,GR-ZONE,TC-15-006,SENA AIRE GRAPHITE W/SHEET,1,,3.431,FT3,14.720,KG,3510,,0,,1000941329,297,12/16/2019
0001,902,4500037482,Z1IM-000032,MIXX NEXT STROLLER INSTRUCTION MANUAL,10,,353.150,FT3,0,KG,3510,,0,,1001270500,16,9/22/2020
0001,902,4500038550,Z1CS05103-FRAME,RAVA BARE FRAME W HARNESS SYSTEM NO FR,1,,35.315,FT3,0,KG,3510,,0,,1001287536,1,10/7/2020
0001,902,4500038550,Z1IM-0237,PIPA LITE SERIES INSTRUCTION MANUAL,40,,"1,412.600",FT3,40,KG,3510,,0,,1001272682,15,9/23/2020
0001,902,4500038550,Z1ST10502-ARM,MIXX LEATHER ARMBAR,5,,176.575,FT3,0,KG,3510,,0,,1001287534,1,10/7/2020
0001,902,4500038550,Z1ST10502-BR,MIXX BRAKE LEVER,6,,211.890,FT3,0,KG,3510,,0,,1001287535,1,10/7/2020
0001,902,4500038550,Z1WL-0386,FEDERAL RECALL AND WARNING LABEL,39,,"1,377.285",FT3,39,KG,3510,,0,,1001270504,16,9/22/2020
0002,902,GR-ZONE,SY-01-001,MIXX SERIES CHILD TRAY,1,,0.225,FT3,0.036,KG,3510,,0,,1001287869,1,10/7/2020
0001,904,0000000000,CF08508600GRN,PIPA LITE R GRANITE W/BASE,1,,6.039,FT3,13.450,KG,3510,,0,,1001279213,9,9/29/2020
,904,REPACK,<<empty>>,,0.000,,0.000,,0.000,,,,0.000,,0,0,
,910,GI-ZONE,<<empty>>,,0.000,,0.000,,0.000,,,,0.000,,0,0,
,915,ZONE_1,<<empty>>,,0.000,,0.000,,0.000,,,,0.000,,0,0,
,915,ZONE_2,<<empty>>,,0.000,,0.000,,0.000,,,,0.000,,0,0,
0001,916,8200088671,AD-08-001,UPPA ADAPTER,1,,0.603,FT3,0.278,KG,3510,,0,PAL,1000704476,497,5/2/2019
,916,8200123376,<<empty>>,,0.000,,0.000,,0.000,,,,0.000,,0,0,
0001,916,8200141679,CS05103CVR,RAVA CAVIAR,3,,21.294,FT3,48.840,KG,3510,,0,PAL,1001287393,1,9/24/2020
0001,916,8200141679,CS05103FRT,RAVA FROST,3,,21.294,FT3,48.840,KG,3510,,0,PAL,1001287394,1,9/24/2020
0001,916,8200141679,CS05103GRN,RAVA GRANITE,2,,14.196,FT3,32.560,KG,3510,,0,PAL,1001287395,1,10/2/2020
0001,916,8200141679,CS05103LAK,RAVA LAKE,3,,21.294,FT3,48.840,KG,3510,,0,PAL,1001287396,1,9/25/2020
